date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,stage_name,knockout_stage,extra_time,penalty_shootout,match_id
1962-06-17,Brazil,Czechoslovakia,3,1,1962 FIFA Men's World Cup,Santiago,Chile,True,final,1,0,0,M-1962-32
1966-07-11,England,Uruguay,0,0,1966 FIFA Men's World Cup,London,England,True,group stage,0,0,0,M-1966-01
1966-07-12,West Germany,Switzerland,5,0,1966 FIFA Men's World Cup,Sheffield,England,True,group stage,0,0,0,M-1966-02
1966-07-12,Brazil,Bulgaria,2,0,1966 FIFA Men's World Cup,Liverpool,England,True,group stage,0,0,0,M-1966-03
1966-07-12,Soviet Union,North Korea,3,0,1966 FIFA Men's World Cup,Middlesbrough,England,True,group stage,0,0,0,M-1966-04
1966-07-13,France,Mexico,1,1,1966 FIFA Men's World Cup,London,England,True,group stage,0,0,0,M-1966-05
1966-07-13,Argentina,Spain,2,1,1966 FIFA Men's World Cup,Birmingham,England,True,group stage,0,0,0,M-1966-06
1966-07-13,Portugal,Hungary,3,1,1966 FIFA Men's World Cup,Manchester,England,True,group stage,0,0,0,M-1966-07
1966-07-13,Italy,Chile,2,0,1966 FIFA Men's World Cup,Sunderland,England,True,group stage,0,0,0,M-1966-08
1966-07-15,Uruguay,France,2,1,1966 FIFA Men's World Cup,London,England,True,group stage,0,0,0,M-1966-09
1966-07-15,Spain,Switzerland,2,1,1966 FIFA Men's World Cup,Sheffield,England,True,group stage,0,0,0,M-1966-10
1966-07-15,Hungary,Brazil,3,1,1966 FIFA Men's World Cup,Liverpool,England,True,group stage,0,0,0,M-1966-11
1966-07-15,Chile,North Korea,1,1,1966 FIFA Men's World Cup,Middlesbrough,England,True,group stage,0,0,0,M-1966-12
1966-07-16,Argentina,West Germany,0,0,1966 FIFA Men's World Cup,Birmingham,England,True,group stage,0,0,0,M-1966-13
1966-07-16,Portugal,Bulgaria,3,0,1966 FIFA Men's World Cup,Manchester,England,True,group stage,0,0,0,M-1966-14
1966-07-16,Soviet Union,Italy,1,0,1966 FIFA Men's World Cup,Sunderland,England,True,group stage,0,0,0,M-1966-15
1966-07-16,England,Mexico,2,0,1966 FIFA Men's World Cup,London,England,True,group stage,0,0,0,M-1966-16
1966-07-19,Mexico,Uruguay,0,0,1966 FIFA Men's World Cup,London,England,True,group stage,0,0,0,M-1966-17
1966-07-19,Argentina,Switzerland,2,0,1966 FIFA Men's World Cup,Sheffield,England,True,group stage,0,0,0,M-1966-18
1966-07-19,Portugal,Brazil,3,1,1966 FIFA Men's World Cup,Liverpool,England,True,group stage,0,0,0,M-1966-19
1966-07-19,North Korea,Italy,1,0,1966 FIFA Men's World Cup,Middlesbrough,England,True,group stage,0,0,0,M-1966-20
1966-07-20,England,France,2,0,1966 FIFA Men's World Cup,London,England,True,group stage,0,0,0,M-1966-21
1966-07-20,West Germany,Spain,2,1,1966 FIFA Men's World Cup,Birmingham,England,True,group stage,0,0,0,M-1966-22
1966-07-20,Hungary,Bulgaria,3,1,1966 FIFA Men's World Cup,Manchester,England,True,group stage,0,0,0,M-1966-23
1966-07-20,Soviet Union,Chile,2,1,1966 FIFA Men's World Cup,Sunderland,England,True,group stage,0,0,0,M-1966-24
1966-07-23,England,Argentina,1,0,1966 FIFA Men's World Cup,London,England,True,quarter-finals,1,0,0,M-1966-25
1966-07-23,Portugal,North Korea,5,3,1966 FIFA Men's World Cup,Liverpool,England,True,quarter-finals,1,0,0,M-1966-26
1966-07-23,Soviet Union,Hungary,2,1,1966 FIFA Men's World Cup,Sunderland,England,True,quarter-finals,1,0,0,M-1966-27
1966-07-23,West Germany,Uruguay,4,0,1966 FIFA Men's World Cup,Sheffield,England,True,quarter-finals,1,0,0,M-1966-28
1966-07-25,West Germany,Soviet Union,2,1,1966 FIFA Men's World Cup,Liverpool,England,True,semi-finals,1,0,0,M-1966-29
1966-07-26,England,Portugal,2,1,1966 FIFA Men's World Cup,London,England,True,semi-finals,1,0,0,M-1966-30
1966-07-28,Portugal,Soviet Union,2,1,1966 FIFA Men's World Cup,London,England,True,third-place match,1,0,0,M-1966-31
1966-07-30,England,West Germany,4,2,1966 FIFA Men's World Cup,London,England,True,final,1,1,0,M-1966-32
1970-05-31,Mexico,Soviet Union,0,0,1970 FIFA Men's World Cup,Mexico City,Mexico,True,group stage,0,0,0,M-1970-01
1970-06-02,Uruguay,Israel,2,0,1970 FIFA Men's World Cup,Puebla,Mexico,True,group stage,0,0,0,M-1970-02
1970-06-02,England,Romania,1,0,1970 FIFA Men's World Cup,Guadalajara,Mexico,True,group stage,0,0,0,M-1970-03
1970-06-02,Peru,Bulgaria,3,2,1970 FIFA Men's World Cup,León,Mexico,True,group stage,0,0,0,M-1970-04
1970-06-03,Belgium,El Salvador,3,0,1970 FIFA Men's World Cup,Mexico City,Mexico,True,group stage,0,0,0,M-1970-05
1970-06-03,Italy,Sweden,1,0,1970 FIFA Men's World Cup,Toluca,Mexico,True,group stage,0,0,0,M-1970-06
1970-06-03,Brazil,Czechoslovakia,4,1,1970 FIFA Men's World Cup,Guadalajara,Mexico,True,group stage,0,0,0,M-1970-07
1970-06-03,West Germany,Morocco,2,1,1970 FIFA Men's World Cup,León,Mexico,True,group stage,0,0,0,M-1970-08
1970-06-06,Soviet Union,Belgium,4,1,1970 FIFA Men's World Cup,Mexico City,Mexico,True,group stage,0,0,0,M-1970-09
1970-06-06,Uruguay,Italy,0,0,1970 FIFA Men's World Cup,Puebla,Mexico,True,group stage,0,0,0,M-1970-10
