date,match_id,home_team,away_team,team,player_id,player_name,minute,own_goal,penalty
1994-06-28,M-1994-31,Russia,Cameroon,Russia,P-73354,Oleg Salenko,15,False,False
1994-06-28,M-1994-31,Russia,Cameroon,Russia,P-73354,Oleg Salenko,41,False,False
1994-06-28,M-1994-31,Russia,Cameroon,Russia,P-73354,Oleg Salenko,44,False,True
1994-06-28,M-1994-31,Russia,Cameroon,Cameroon,P-58080,Roger Milla,46,False,False
1994-06-28,M-1994-31,Russia,Cameroon,Russia,P-73354,Oleg Salenko,72,False,False
1994-06-28,M-1994-31,Russia,Cameroon,Russia,P-73354,Oleg Salenko,75,False,False
1994-06-28,M-1994-31,Russia,Cameroon,Russia,P-42532,Dmitri Radchenko,81,False,False
1994-06-28,M-1994-32,Brazil,Sweden,Sweden,P-60371,Kennet Andersson,23,False,False
1994-06-28,M-1994-32,Brazil,Sweden,Brazil,P-61251,not applicable Romário,47,False,False
1994-06-29,M-1994-33,Belgium,Saudi Arabia,Saudi Arabia,P-41428,Saeed Al-Owairan,5,False,False
1994-06-29,M-1994-34,Morocco,Netherlands,Netherlands,P-22409,Dennis Bergkamp,43,False,False
1994-06-29,M-1994-34,Morocco,Netherlands,Morocco,P-89133,Hassan Nader,47,False,False
1994-06-29,M-1994-34,Morocco,Netherlands,Netherlands,P-03942,Bryan Roy,77,False,False
1994-06-30,M-1994-35,Argentina,Bulgaria,Bulgaria,P-81648,Hristo Stoichkov,61,False,False
1994-06-30,M-1994-35,Argentina,Bulgaria,Bulgaria,P-05061,Nasko Sirakov,93,False,False
1994-06-30,M-1994-36,Greece,Nigeria,Nigeria,P-54287,Finidi George,47,False,False
1994-06-30,M-1994-36,Greece,Nigeria,Nigeria,P-84893,Daniel Amokachi,95,False,False
1994-07-02,M-1994-37,Germany,Belgium,Germany,P-04572,Rudi Völler,6,False,False
1994-07-02,M-1994-37,Germany,Belgium,Belgium,P-99499,Georges Grün,8,False,False
1994-07-02,M-1994-37,Germany,Belgium,Germany,P-91373,Jürgen Klinsmann,11,False,False
1994-07-02,M-1994-37,Germany,Belgium,Germany,P-04572,Rudi Völler,38,False,False
1994-07-02,M-1994-37,Germany,Belgium,Belgium,P-43307,Philippe Albert,90,False,False
1994-07-02,M-1994-38,Spain,Switzerland,Spain,P-35246,Fernando Hierro,15,False,False
1994-07-02,M-1994-38,Spain,Switzerland,Spain,P-38878,Luis Enrique,74,False,False
1994-07-02,M-1994-38,Spain,Switzerland,Spain,P-23403,Txiki Begiristain,86,False,True
1994-07-03,M-1994-39,Saudi Arabia,Sweden,Sweden,P-63429,Martin Dahlin,6,False,False
1994-07-03,M-1994-39,Saudi Arabia,Sweden,Sweden,P-60371,Kennet Andersson,51,False,False
1994-07-03,M-1994-39,Saudi Arabia,Sweden,Saudi Arabia,P-39267,Fahad Al-Ghesheyan,85,False,False
1994-07-03,M-1994-39,Saudi Arabia,Sweden,Sweden,P-60371,Kennet Andersson,88,False,False
1994-07-03,M-1994-40,Romania,Argentina,Romania,P-54322,Ilie Dumitrescu,11,False,False
1994-07-03,M-1994-40,Romania,Argentina,Argentina,P-84542,Gabriel Batistuta,16,False,True
1994-07-03,M-1994-40,Romania,Argentina,Romania,P-54322,Ilie Dumitrescu,18,False,False
