Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
406,Leonidas Stergiou,DF,ch Switzerland,21,2002,0.5,25,5,14,9,2,0,25,0,0,,0,,6,11,1,0,0,0,3,0,7,1,Matches
407,Petar Stojanović,MF,si Slovenia,28,1995,3.5,147,3,33,68,51,7,147,13,4,30.8,9,69.2,80,650,225,7,6,2,5,5,87,9,Matches
408,John Stones,DF,eng England,29,1994,7.7,597,60,229,361,12,1,597,2,1,50.0,0,0.0,428,2217,1154,0,4,0,3,0,489,1,Matches
409,Thomas Strakosha,GK,al Albania,28,1995,3.0,99,89,99,0,0,0,99,0,0,,0,,54,319,240,0,0,0,0,0,38,0,Matches
410,Dávid Strelec,FW,sk Slovakia,22,2001,2.0,61,1,4,32,26,9,61,5,2,40.0,2,40.0,32,102,20,0,0,0,4,2,39,6,Matches
411,Callum Styles,MF,hu Hungary,23,2000,0.7,31,0,10,20,2,0,31,0,0,,0,,21,98,20,0,1,0,1,0,20,0,Matches
412,Luka Sučić,"FW,MF",hr Croatia,21,2002,1.6,97,0,7,50,40,5,97,4,3,75.0,1,25.0,67,490,257,6,4,0,1,0,78,5,Matches
413,Heorhiy Sudakov,MF,ua Ukraine,21,2002,2.9,146,4,33,69,46,2,146,5,3,60.0,2,40.0,103,606,281,6,8,2,6,2,115,11,Matches
414,Pavel Šulc,MF,cz Czechia,23,2000,0.9,24,2,9,7,8,1,24,0,0,,0,,10,68,36,3,2,1,2,0,8,2,Matches
415,Tomáš Suslov,"FW,MF",sk Slovakia,21,2002,1.4,75,2,11,26,39,1,75,9,3,33.3,5,55.6,47,262,158,6,1,2,2,3,48,10,Matches
416,Josip Šutalo,DF,hr Croatia,23,2000,3.0,235,34,102,128,6,1,235,3,3,100.0,0,0.0,129,559,319,1,0,0,2,2,174,0,Matches
417,Oleksandr Svatok,DF,ua Ukraine,29,1994,0.9,32,10,23,9,0,0,32,0,0,,0,,15,41,7,0,0,0,0,0,17,0,Matches
418,Karol Świderski,FW,pl Poland,27,1997,1.0,25,0,6,8,11,1,25,2,0,0.0,2,100.0,10,48,6,0,0,0,2,1,18,6,Matches
