Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
143,Dániel Gazdag,MF,hu Hungary,27,1996,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
144,Lutsharel Geertruida,DF,nl Netherlands,23,2000,1.2,3,2.50,1,0,0,0,1,1,1,0.83,0,0,0,0,0,1,Matches
145,Billy Gilmour,MF,sct Scotland,22,2001,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
146,Olivier Giroud,FW,fr France,37,1986,0.7,2,3.05,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
147,Klaus Gjasula,MF,al Albania,34,1989,0.2,1,5.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
148,Adam Gnezda Čerin,MF,si Slovenia,24,1999,4.3,6,1.50,2,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
149,Anthony Gordon,FW,eng England,22,2001,0.0,1,45.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
150,Jon Gorenc Stanković,MF,si Slovenia,28,1996,1.0,1,1.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
151,Michael Gregoritsch,FW,at Austria,29,1994,1.4,1,0.71,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
152,Antoine Griezmann,"MF,FW",fr France,32,1991,4.4,15,3.43,9,3,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
153,Florian Grillitsch,MF,at Austria,28,1995,2.2,4,1.86,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
154,Álex Grimaldo,DF,es Spain,28,1995,1.3,8,6.26,6,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
155,Pascal Groß,MF,de Germany,32,1991,0.5,5,10.00,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
156,Kamil Grosicki,MF,pl Poland,35,1988,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
157,Nemanja Gudelj,MF,rs Serbia,32,1991,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
158,Marc Guéhi,DF,eng England,23,2000,6.3,2,0.33,1,0,0,1,0,0,1,0.17,1,0,0,0,0,0,Matches
159,Péter Gulácsi,GK,hu Hungary,33,1990,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
160,Arda Güler,"FW,MF",tr Türkiye,18,2005,3.8,17,4.50,10,3,2,1,1,0,2,0.53,1,1,0,0,0,0,Matches
161,İlkay Gündoğan,MF,de Germany,33,1990,4.3,16,3.76,12,1,0,1,2,0,4,0.94,2,0,0,1,1,0,Matches
162,Angus Gunn,GK,sct Scotland,28,1996,3.0,1,0.33,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
163,Mert Günok,GK,tr Türkiye,34,1989,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
164,Joško Gvardiol,DF,hr Croatia,22,2002,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
165,Giorgi Gwelesiani,DF,ge Georgia,32,1991,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
166,Norbert Gyömbér,DF,sk Slovakia,31,1992,0.4,4,180.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
167,Ianis Hagi,MF,ro Romania,25,1998,2.1,4,1.91,3,0,0,0,1,0,1,0.48,0,0,0,0,1,0,Matches
168,Dávid Hancko,DF,sk Slovakia,26,1997,4.1,5,1.34,3,2,0,0,0,0,1,0.27,0,1,0,0,0,0,Matches
169,Grant Hanley,DF,sct Scotland,32,1991,2.5,2,0.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
170,Lukáš Haraslín,FW,sk Slovakia,27,1996,2.9,11,3.75,4,4,2,1,0,0,1,0.34,1,0,0,0,0,0,Matches
171,Kai Havertz,"FW,MF",de Germany,24,1999,4.3,9,2.08,7,0,0,2,0,0,1,0.23,1,0,0,0,0,0,Matches
172,Jack Hendry,DF,sct Scotland,28,1995,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
