Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
222,Jasmin Kurtić,FW,si Slovenia,35,1989,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
223,Khvicha Kvaratskhelia,FW,ge Georgia,22,2001,3.8,68,86,79.1,903,221,44,47,93.6,19,20,95.0,2,14,14.3,0,0.6,0.5,-0.6,8,3,5,1,10,Matches
224,Nika Kvekveskiri,MF,ge Georgia,31,1992,0.1,13,15,86.7,165,52,9,10,90.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
225,Giorgi Kvilitaia,FW,ge Georgia,30,1993,0.0,2,3,66.7,10,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
226,Saba Kvirkvelia,DF,ge Georgia,31,1992,2.0,52,61,85.2,962,375,21,23,91.3,27,29,93.1,4,8,50.0,0,0.0,0.0,0.0,0,3,0,0,5,Matches
227,Qazim Laçi,"MF,FW",al Albania,28,1996,1.8,36,52,69.2,557,93,20,26,76.9,8,10,80.0,6,11,54.5,0,0.1,0.0,-0.1,3,2,2,1,4,Matches
228,Konrad Laimer,"MF,FW",at Austria,26,1997,3.0,107,126,84.9,1690,502,52,57,91.2,48,53,90.6,3,3,100.0,0,0.0,0.1,0.0,1,14,1,0,17,Matches
229,Ádám Lang,DF,hu Hungary,31,1993,0.5,13,19,68.4,208,121,7,9,77.8,5,8,62.5,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
230,Aymeric Laporte,DF,es Spain,29,1994,5.8,446,483,92.3,7994,2383,182,188,96.8,230,243,94.7,32,45,71.1,0,0.1,0.2,-0.1,2,56,3,1,46,Matches
231,Robin Le Normand,DF,es Spain,27,1996,4.9,320,344,93.0,5848,1705,102,107,95.3,203,210,96.7,14,25,56.0,0,0.0,0.1,0.0,1,31,0,0,19,Matches
232,Rafael Leão,FW,pt Portugal,24,1999,3.2,85,112,75.9,1257,312,52,63,82.5,31,40,77.5,2,4,50.0,0,0.5,0.4,-0.5,5,9,6,3,13,Matches
233,Robert Lewandowski,FW,pl Poland,35,1988,1.3,19,23,82.6,276,46,12,12,100.0,4,6,66.7,2,4,50.0,0,0.1,0.1,-0.1,1,0,1,0,2,Matches
234,Philipp Lienhart,DF,at Austria,27,1996,2.4,113,125,90.4,2347,693,28,32,87.5,59,62,95.2,20,23,87.0,0,0.0,0.0,0.0,0,14,0,0,8,Matches
235,Ondřej Lingr,"MF,FW",cz Czechia,25,1998,0.9,21,27,77.8,265,62,13,13,100.0,6,8,75.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
236,Dominik Livaković,GK,hr Croatia,29,1995,3.0,69,93,74.2,1660,1191,24,24,100.0,30,30,100.0,15,39,38.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
