Rk,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
139,Niclas Füllkrug,FW,de Germany,30,1993,1.8,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,3,0,Matches
140,Mijat Gaćinović,DF,rs Serbia,28,1995,0.5,1,1,1,0,0,1,2,50.0,1,2,0,2,0,1,0,0,Matches
141,Cody Gakpo,FW,nl Netherlands,24,1999,5.8,9,8,3,4,2,2,12,16.7,10,5,0,5,4,13,5,0,Matches
142,Conor Gallagher,MF,eng England,23,2000,1.3,1,0,1,0,0,0,2,0.0,2,3,1,2,1,2,4,1,Matches
143,Dániel Gazdag,MF,hu Hungary,27,1996,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
144,Lutsharel Geertruida,DF,nl Netherlands,23,2000,1.2,4,3,3,1,0,0,0,,0,2,0,2,0,4,0,0,Matches
145,Billy Gilmour,MF,sct Scotland,22,2001,2.0,1,1,0,1,0,0,0,,0,2,0,2,0,1,2,0,Matches
146,Olivier Giroud,FW,fr France,37,1986,0.7,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,Matches
147,Klaus Gjasula,MF,al Albania,34,1989,0.2,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,Matches
148,Adam Gnezda Čerin,MF,si Slovenia,24,1999,4.3,9,5,8,1,0,4,9,44.4,5,7,0,7,5,14,10,0,Matches
149,Anthony Gordon,FW,eng England,22,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
150,Jon Gorenc Stanković,MF,si Slovenia,28,1996,1.0,1,1,1,0,0,0,1,0.0,1,3,3,0,0,1,2,0,Matches
151,Michael Gregoritsch,FW,at Austria,29,1994,1.4,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,Matches
152,Antoine Griezmann,"MF,FW",fr France,32,1991,4.4,5,3,2,2,1,4,6,66.7,2,4,0,4,1,6,2,1,Matches
153,Florian Grillitsch,MF,at Austria,28,1995,2.2,2,1,1,0,1,1,3,33.3,2,0,0,0,6,8,0,0,Matches
154,Álex Grimaldo,DF,es Spain,28,1995,1.3,1,1,1,0,0,1,2,50.0,1,1,0,1,3,4,4,0,Matches
155,Pascal Groß,MF,de Germany,32,1991,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
156,Kamil Grosicki,MF,pl Poland,35,1988,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
157,Nemanja Gudelj,MF,rs Serbia,32,1991,1.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,Matches
158,Marc Guéhi,DF,eng England,23,2000,6.3,3,2,1,1,1,1,2,50.0,1,11,6,5,2,5,13,0,Matches
159,Péter Gulácsi,GK,hu Hungary,33,1990,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,Matches
160,Arda Güler,"FW,MF",tr Türkiye,18,2005,3.8,9,5,5,2,2,7,11,63.6,4,0,0,0,3,12,0,0,Matches
161,İlkay Gündoğan,MF,de Germany,33,1990,4.3,5,4,1,3,1,0,2,0.0,2,0,0,0,1,6,0,0,Matches
162,Angus Gunn,GK,sct Scotland,28,1996,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
163,Mert Günok,GK,tr Türkiye,34,1989,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,Matches
164,Joško Gvardiol,DF,hr Croatia,22,2002,3.0,5,3,3,1,1,2,4,50.0,2,2,1,1,5,10,4,0,Matches
165,Giorgi Gwelesiani,DF,ge Georgia,32,1991,1.8,3,3,3,0,0,3,5,60.0,2,3,3,0,2,5,15,1,Matches
166,Norbert Gyömbér,DF,sk Slovakia,31,1992,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
167,Ianis Hagi,MF,ro Romania,25,1998,2.1,5,3,2,1,2,2,4,50.0,2,1,0,1,0,5,4,0,Matches
168,Dávid Hancko,DF,sk Slovakia,26,1997,4.1,10,5,6,4,0,4,11,36.4,7,7,2,5,3,13,10,0,Matches
169,Grant Hanley,DF,sct Scotland,32,1991,2.5,2,0,1,1,0,0,0,,0,2,1,1,1,3,11,0,Matches
170,Lukáš Haraslín,FW,sk Slovakia,27,1996,2.9,4,4,2,1,1,4,6,66.7,2,1,0,1,3,7,5,0,Matches
171,Kai Havertz,"FW,MF",de Germany,24,1999,4.3,2,1,1,1,0,2,2,100.0,0,4,0,4,0,2,8,0,Matches
172,Jack Hendry,DF,sct Scotland,28,1995,2.9,2,1,1,1,0,2,2,100.0,0,2,2,0,1,3,10,0,Matches
173,Benjamin Henrichs,DF,de Germany,26,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
174,Theo Hernández,DF,fr France,26,1997,6.3,10,6,7,2,1,6,9,66.7,3,6,5,1,3,13,12,2,Matches
175,Morten Hjulmand,MF,dk Denmark,24,1999,2.7,3,1,1,2,0,2,5,40.0,3,3,1,2,1,4,3,1,Matches
